配当
コード,年度,一株配当,剰余金の配当,自社株買い,配当性向,総還元性向,純資産配当率
1301,2010/03,50,529000000,0,48.71,48.7,-
1332,2010/03,10,2764000000,3000000,6281.82,6288.6,-
1352,2010/03,20,167000000,-,73.57,-,-
1375,2010/03,0.1,297000000,264000000,25.98,49.1,-
1376,2010/05,19,198240000,277000,20.2,20.2,-
1377,2010/05,20,688000000,1000000,68.73,68.8,-
1379,2010/03,55,1717000000,1000000,33.21,33.2,-
1380,2010/03,3,8351000,638000,31.45,33.9,-
1381,2010/06,12.5,84242000,-,21.96,-,-
1382,2010/06,65,49530000,-,108.07,-,-
1384,2010/08,5,-,-,-,-,-
1407,2010/08,5.92,78560000,-,-,-,-
1413,2010/12,8.33,79187000,-,7.16,-,-
1414,2010/06,20,967000000,911000000,22.12,43,-
1434,2010/08,4,-,-,-,-,-
1491,2010/03,-,900000,121000,-,-,-
1514,2010/03,-,-,0,-,-,-
1515,2010/03,35,583000000,5000000,34.68,35,-
1518,2010/03,40,315000000,0,9.1,9.1,-
1605,2010/03,13.75,15297000000,-,-,0,-
1662,2010/03,8,2286000000,0,12.74,12.7,-
1712,2010/02,5,71835000,-,19,-,-
1716,2010/06,2.5,28999000,-,21.49,21.5,-
1717,2010/03,4,55892000,-,-,-,-
1718,2010/12,80,43753000,-,9.14,9.1,-
1719,2010/03,0,447000000,23000000,-,-,-
1720,2010/03,6,-,0,-,-,-
1721,2010/03,20,2589000000,5006000000,36.48,107,-
1722,2010/03,-,-,10000000,-,0.3,-
1723,2010/03,17,409819000,-,29.8,29.8,-
1724,2010/03,6,23000000,-,12.92,-,-
1726,2010/03,2,32876000,1839000,16.37,17.3,-
1728,2010/03,5,57649000,686000,24.65,24.9,-
1730,2010/03,5,17091000,-,47.7,47.7,-
1734,2010/03,30,12952000,8860000,4.5,6.5,-
1736,2010/03,13,73953000,1000,20.51,20.5,-
1737,2010/03,10,229981000,-,159.89,159.9,-
1738,2010/03,4,16225000,-,11.96,-,-
1739,2010/03,-,259000,-,-,-,-
1743,2010/09,16.67,37964000,216000,-,-,-
1757,2010/03,-,-,0,-,-,-
1758,2010/01,20.83,51215000,-,33.3,33.3,-
1762,2010/03,23,521000000,-,14.77,-,-
1764,2010/06,50,64890000,86000,26.6,26.6,-
1766,2010/04,115,1549000000,-,40.14,40.1,-
1768,2010/03,7,51390000,-,34.5,34.5,-
1770,2010/03,16,201556000,366000,115.8,116,-
1771,2010/09,3,27100000,-,3.94,3.9,-
1775,2010/03,15,59000000,-,24.79,-,-
1776,2010/03,4,37000000,0,6.65,6.7,-
1777,2010/03,3,35933000,169000,11.8,11.9,-
1780,2010/09,5,102154000,133000,52.2,52.3,-
1782,2010/03,30,39244000,-,177.01,177,-
1783,2010/09,-,-,1000,-,-,-
1787,2010/03,48,98316000,1244000,24.5,24.7,-
1788,2010/06,40,20580000,111000,24.6,24.7,-
1789,2010/09,4,12738000,23000,5.65,5.7,-
1793,2010/03,19.17,353000000,1000000,37.12,37.2,-
1795,2010/03,20,17596000,384000,41.6,42.5,-
1798,2010/03,25,55564000,20624000,17.56,24.1,-
1799,2010/03,15,315092000,127438000,14.2,19.9,-
1801,2010/03,25,4789000000,23000000,22.57,22.7,-
1802,2010/03,8,5752000000,94000000,-,-,-
1803,2010/03,7,5504000000,47000000,-,-,-
1805,2010/03,-,-,5000000,-,1.9,-
1807,2010/03,6.25,23937000,-,3.86,3.9,-
1808,2010/03,0,855000000,12000000,-,0.2,-
1810,2010/03,8,274826000,1262000,-,-,-
1811,2010/03,50,359000000,0,45.16,45.2,-
1812,2010/03,12,5572000000,759000000,42.13,47.9,-
1813,2010/03,-,-,0,-,-,-
1814,2010/03,-,-,1000000,-,-,-
1815,2010/03,-,-,10000000,-,0.9,-
1820,2010/03,20,1109000000,4000000,-,-,-
1821,2010/03,0,-,1000000,-,0,-
1822,2010/03,5,0,0,0,-,-
1824,2010/03,7,1238000000,1000000,52.1,52.1,-
1826,2010/03,-,-,0,-,-,-
1827,2010/03,6,206000000,-,11.26,-,-
1828,2010/03,10,128421000,-,17.32,-,-
1832,2010/03,8,173914000,-,16.5,-,-
1833,2010/03,45,1798000000,17000000,276.19,278.8,-
1835,2010/03,16,498978000,1991000,17.74,17.8,-
1840,2010/10,2,-,13000,-,0,-
1841,2010/03,25,88104000,21000,72.9,72.9,-
1844,2010/07,-,-,2000,-,-,-
1847,2010/03,25,250000000,-,30.5,-,-
1848,2010/03,-,-,0,-,-,-
1852,2010/03,-,-,0,-,-,-
1860,2010/03,7,2187000000,1118000000,75.26,113.7,-
1861,2010/03,-,-,8000000,-,0.3,-
1865,2010/03,12,742000000,15000000,119.48,121.9,-
1866,2010/03,80,559529000,5290000,54.55,55.1,-
1867,2010/03,20,99498000,905000,20.85,21,-
1869,2010/03,10,247000000,-,24.5,-,-
1870,2010/03,14,651000000,10000000,32.29,32.8,-
1871,2010/03,-,-,0,-,-,-
1873,2010/10,3,91000000,0,2.8,2.8,-
1878,2010/03,193,17053000000,12733000000,37.6,65.7,-
