財務

コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
1301,2025/03,182125000000,68355000000,57902000000,47725000000,28770000000,35604000000,5600.12,36.5
130A,2024/12,2248958000,2209548000,2209548000,-203393000,-,-,340.61,98.2
1332,2025/03,634878000000,285939000000,223806000000,171996000000,114104000000,95832000000,891.31,43.6
1333,2025/03,681211000000,275396000000,197090000000,141324000000,133069000000,99842000000,4557.7,33.7
135A,2025/02,1873000000,1422000000,1422113000,834545000,-,-,140.66,75.9
1375,2025/03,37868000000,12525000000,12366000000,18334000000,-,15435000000,309.89,32.7
1376,2024/05,48682522000,24441871000,23104608000,20541739000,-,-,2163.02,50.2
1377,2024/05,192717000000,160533000000,139045000000,121965000000,2559000000,1077000000,3650.69,83.1
1379,2025/03,107620000000,56808000000,54420000000,47044000000,7097000000,12672000000,1817.33,52.8
137A,2024/05,792194000,662776000,662776000,218892000,-,-,227.09,83.7
1380,2025/03,7126000000,2186000000,2123196000,861486000,1564124000,1713918000,523.35,30.6
1381,2024/06,24451000000,20723000000,20230000000,19352000000,-,-,3690,84.8
1382,2024/06,1123842000,769645000,769645000,237997000,-,4016000,1010.45,68.5
1383,2024/10,5677521000,2120334000,2060366000,762857000,600000000,1238325000,1293.88,36.4
1384,2025/03,19216000000,14153000000,13966000000,12157000000,-,1134000000,1673.03,73.7
138A,2024/11,2408540000,1247319000,1247319000,444215000,-,584905000,1257.38,51.8
1400,2023/12,3184986000,2637992000,2268339000,-789479000,2600000,83314000,193.32,79
1401,2024/05,4408320000,3472954000,3440775000,2861190000,-,-,471.97,78.8
1407,2024/08,125897000000,33399000000,33090000000,36350000000,18612000000,56553000000,837.88,26.4
1414,2024/06,130141000000,104425000000,100330000000,73088000000,-,-,1981.14,79.2
1417,2025/03,537739000000,269877000000,245748000000,201526000000,42596000000,40495000000,2914.94,48.6
1418,2025/02,9438000000,4214000000,4228120000,877640000,650000000,759292000,271.55,44.7
1419,2024/05,89587000000,38327000000,38398000000,31259000000,5963000000,1966000000,1321.09,42.7
141A,2024/06,283627000000,118187000000,114443000000,71952000000,-,12195000000,948.63,40.8
1420,2025/03,50553000000,15321000000,15350070000,6770994000,3690000000,9913000000,1367.23,30.3
1429,2024/12,24071841000,10545914000,10545343000,8357887000,4500000000,-,330.51,43.8
142A,2025/03,2090000000,389000000,389870000,-246634000,102494000,327283000,134.32,18.6
1430,2024/05,23717601000,8468076000,8464766000,8037300000,1500000000,2154443000,708.48,35.7
1431,2024/06,11741338000,4570600000,4570600000,2271032000,2446450000,1379309000,194.2,38.9
1433,2025/01,11046000000,4853000000,4770009000,3323981000,3000000000,622844000,546.88,43.9
1434,2024/08,17734538000,6746621000,6558241000,4269395000,1595096000,3755930000,958.88,37.4
1435,2024/12,13233088000,9310114000,9298789000,2128305000,500040000,758659000,103.57,70.3
1436,2024/04,12122962000,5033018000,5032810000,3277405000,354700000,3135884000,1234.79,41.5
1438,2024/09,5294131000,3820625000,3766503000,3001421000,200000000,11652000,1178.13,72.2
1439,2024/12,5502000000,2588000000,2515200000,1410496000,80000000,713625000,1486.1,45.7
143A,2025/03,2201000000,1682000000,1170712000,850706000,-,-,626.84,54.6
1443,2025/03,16164000000,10916000000,10584448000,7991477000,-,2858779000,672.4,67.5
1444,2024/07,2767380000,1501120000,1507334000,908365000,600000000,130618000,1379.9,54.2
1446,2024/09,6134261000,2799618000,2792252000,710503000,500000000,370000000,303.42,45.6
1447,2025/03,16998000000,2843000000,2684246000,23209000,4530000000,3865174000,108.38,15.6
1449,2024/12,735057000,261326000,261326000,175478000,80000000,197924000,122.69,35.6
1450,2025/03,11383000000,8223000000,8136797000,7591352000,-,-,945.32,72.2
1451,2024/03,15025464000,6395081000,6394726000,4937079000,200000000,3086267000,1601.84,42.6
145A,2024/12,2708435000,1709021000,1709021000,-924382000,60000000,435074000,333.48,63.1
146A,2024/12,52186000000,12101000000,12100000000,9045000000,2255000000,30515000000,3485.63,23.2
147A,2025/03,13403000000,10355000000,9878888000,855057000,-,687505000,222.78,75
148A,2024/12,2430572000,777136000,776623000,130952000,200000000,181850000,406.41,32
1491,2025/03,16525000000,8182000000,8182188000,2014850000,1500000000,1177532000,28.39,49.5
149A,2024/12,1228956000,978011000,978011000,-103613000,90000000,-,309.07,79.6
150A,2025/03,2982000000,2038000000,2038223000,-287957000,176000000,91315000,362.46,68.3
1514,2025/03,29047000000,28024000000,27273000000,25254000000,-,-,468.76,96.5
1515,2025/03,240179000000,151971000000,117376000000,115864000000,12615000000,9771000000,8991.68,58.9
1518,2025/03,117627000000,65481000000,62060000000,59875000000,28707000000,3056000000,5825.41,55.5
151A,2024/06,4314946000,1895989000,1895315000,1274159000,30000000,193476000,228.49,43.9
