CF

コード,年度,営業CF,投資CF,財務CF,設備投資,現金同等物,営業CFマージン
1301,2025/03,5843000000,-9036000000,2149000000,-,7514000000,1.93
130A,2024/12,-217944000,-2005988000,848179000,-5702000,173358000,-111.97
1332,2025/03,40379000000,-30393000000,-11452000000,-30995000000,18686000000,4.56
1333,2025/03,39179000000,-1886000000,-29352000000,-20319000000,48422000000,3.63
135A,2025/02,-161000000,-242000000,-69000000,-79704000,488886000,-7.51
1375,2025/03,5519000000,-2252000000,-2159000000,-2205000000,3903000000,10.39
1376,2024/05,2235610000,-486095000,-614308000,-679000000,3265897000,3.63
1377,2024/05,6966000000,-4248000000,-4218000000,-8010000000,20264000000,7.86
1379,2025/03,12222000000,-9012000000,-1721000000,-1655000000,15069000000,14.71
137A,2024/05,157505000,-288000,245640000,-288000,641972000,15.33
1380,2025/03,725072000,-451110000,-4323000,-458427000,968035000,9.11
1381,2024/06,3729000000,-2182000000,-584000000,-2674000000,7115000000,14.43
1382,2024/06,-159782000,-24709000,-41904000,-22523000,351517000,-6.34
1383,2024/10,111461000,-241486000,54646000,-247644000,920359000,1.57
1384,2025/03,3216000000,-2258000000,-663000000,-2144000000,4194000000,16.58
138A,2024/11,209007000,-306290000,526959000,-236393000,1033905000,8.14
1400,2023/12,202435000,-143416000,-,-982000,1326806000,7.61
1401,2024/05,547568000,-277128000,-155817000,-70715000,1537141000,12.57
1407,2024/08,495000000,-10420000000,-8563000000,-10097000000,27818000000,0.98
1414,2024/06,19406000000,2492000000,-9209000000,-1075000000,35304000000,22.72
1417,2025/03,18049000000,-9370000000,-6412000000,-7764000000,51350000000,3.12
1418,2025/02,484878000,-150816000,-196436000,-105048000,1492377000,2.86
1419,2024/05,8284000000,-2010000000,-14553000000,-1997000000,26105000000,3.34
141A,2024/06,59497000000,-26005000000,34503000000,-20266000000,91947000000,8.29
1420,2025/03,-2371000000,-46000000,1210000000,-84556000,9232054000,-5.21
1429,2024/12,-516518000,-338411000,1084955000,-208963000,2263300000,-1.71
142A,2025/03,-128391000,-72390000,240110000,-18233000,1593893000,-5.35
1430,2024/05,-1573804000,-92068000,720969000,-35919000,4117604000,-5.53
1431,2024/06,1102950000,-923324000,2290682000,-260698000,3778388000,7.15
1433,2025/01,-607470000,1482006000,-719139000,-30985000,1599484000,-5.57
1434,2024/08,-851836000,1677386000,-759316000,-91002000,2350632000,-5.75
1435,2024/12,2060929000,-729525000,447064000,-1472720000,6501814000,15.66
1436,2024/04,570493000,-310278000,-728349000,-112025000,1503212000,5.9
1438,2024/09,715786000,-114111000,-42727000,-81132000,2385018000,13.77
1439,2024/12,625000000,-172000000,281000000,-147706000,1970386000,7.73
