配当

コード,年度,一株配当,剰余金の配当,自社株買い,配当性向,総還元性向,純資産配当率
1301,2025/03,130,1191000000,173000000,22.9,25.5,2.5
1332,2025/03,28,8101000000,4000000,34.3,34.3,3.3
1333,2025/03,110,5053000000,6000000,23.8,23.8,2.5
1375,2025/03,15,520000000,-,39.8,39.8,5
1376,2025/05,38,374537000,286626000,35.5,59.4,1.7
1377,2025/05,75,3073000000,2154000000,33.7,55.9,2
1379,2025/03,50,1590000000,880000000,35.6,55.4,2.8
1380,2025/03,10,41691000,-,147.9,147.9,1.9
1381,2025/06,112.5,553000000,-,36.7,-,3
1382,2025/06,50,38084000,66000,154.1,154.4,5
1383,2024/10,10,16101000,-,40,40,0.8
1384,2025/03,70,338000000,-,27.1,27.1,4.5
138A,2024/11,40,-,-,36.5,-,4.4
1401,2025/05,13,58867000,172738000,20,56.6,2.6
1407,2024/08,65,2236000000,2791000000,38.8,80.1,8.1
1414,2025/06,175.5,7677000000,5001000000,60.1,93.3,8.7
1417,2025/03,75,6433000000,4987000000,39.6,68.6,2.7
1418,2025/02,20,130345000,-,44,44,7.9
1419,2025/05,195,5507000000,-,382.4,382.4,15.6
141A,2025/06,16,1829000000,-,16.6,16.6,1.6
1420,2025/03,25,297506000,-,41.5,41.5,1.8
1429,2024/12,34,1005060000,-,58.1,58.1,10.8
1430,2025/05,42,377409000,442550000,30.1,56.6,5.5
1431,2025/06,6.4,151690000,199974000,30.2,70.6,3.2
1433,2025/01,20,177223000,-,43.2,43.2,4
1434,2024/08,30,205362000,87000,20.4,20.4,3.4
1435,2024/12,2,179768000,-,19.7,19.7,2
1436,2025/04,13,48909000,142000,19.3,19.4,1
1438,2024/09,30,80450000,39000,28.3,28.3,2.6
1439,2024/12,-,52917000,74000,0,0,0
1443,2025/03,1.1,16234000,28000,3.6,3.6,0.2
1444,2024/07,-,-,111000,-,0.4,-
1446,2024/09,8,64522000,-,53.5,53.5,2.7
1447,2025/03,-,-,123000,-,-,-
1450,2025/03,55,347956000,179000,30.4,30.4,6.3
1451,2024/03,35,131469000,-,39.3,39.3,2.2
146A,2024/12,57.5,227000000,-,17.8,-,4.1
147A,2025/03,-,-,42000,-,0,-
1491,2025/03,1.5,144107000,70000,35.5,35.5,5.3
1514,2025/03,30,3101000000,-,42.8,42.8,6.4
1515,2025/03,44.8,2914000000,4737000000,41,93.5,2.6
1518,2025/03,26,1306000000,3254000000,17.3,54.9,2.3
151A,2025/06,-,-,100075000,-,22,-
156A,2024/08,25.06,-,176984000,34.4,59.3,14.2
157A,2025/06,10,31900000,46574000,96.4,239,2.2
1605,2024/12,86,100248000000,130000000000,-,30.4,2.3
160A,2025/03,55,115140000,-,20.4,-,5.6
165A,2025/03,7.2,583916000,1193740000,-,80.3,10.7
1662,2025/03,55,15673000000,11029000000,-,13.6,2.8
1663,2024/12,42,1092000000,2000000,18.2,18.2,1.2
166A,2024/09,16,774790000,7376000,30,30.3,3.9
167A,2025/03,140,6511000000,9000000,59.7,59.8,4.3
168A,2025/01,20,-,-,16.9,-,3.3
1711,2025/03,-,-,17000,-,-,-
1712,2025/02,14,235000000,39000000,19,22.2,1.3
1716,2025/06,40,436558000,-,34,34,2.4
1717,2025/03,42.5,453977000,-,54.4,54.4,9.3
1718,2024/12,200,273253000,448000,33.2,33.3,1.4
1719,2025/03,70,9606000000,2000000,41.5,41.5,6.8
1720,2025/03,38,4039000000,1000000,60.6,60.6,4
1721,2025/03,115,13086000000,6003000000,45.4,65.4,3.7
1723,2025/03,122,1527000000,-,-,0,5.3
1724,2024/12,28,125000000,-,23.8,-,2.2
1726,2025/03,15,694000000,-,53,53,4.6
1730,2024/03,3,34137000,-,-,-,0.9
1734,2023/03,-,463000,-,-,-,-
