配当
コード,年度,一株配当,剰余金の配当,自社株買い,配当性向,総還元性向,純資産配当率
1301,2012/03,50,525000000,0,124.11,124.1,-
1332,2012/03,10,2764000000,1000000,119.81,119.9,-
1333,2012/03,4,-,-,-,-,-
1352,2012/03,20,167000000,-,83.92,-,-
1375,2012/03,0.1,361000000,208000000,-,-,-
1376,2012/05,21,244872000,217000,28.34,28.4,-
1377,2012/05,20,900000000,0,47.32,47.3,-
1379,2012/03,57,1849000000,0,41.95,42,-
1380,2012/03,3,12520000,-,46.14,46.1,-
1381,2012/06,12.5,70200000,-,21.52,-,-
1382,2012/06,25,49530000,-,-,-,-
1383,2012/10,5,-,-,-,-,0.8
1384,2012/08,3.33,-,-,-,-,-
1407,2012/08,8.88,269626000,6108000,45.5,46.2,9.9
1413,2012/12,36,488696000,62000,19.9,19.9,6.7
1414,2012/06,25,1211000000,0,32.85,32.9,-
1417,2012/03,20,823000000,1000000,25.32,25.4,-
1419,2012/05,10,-,-,-,-,-
1434,2012/08,5,-,-,-,-,-
1435,2012/12,0.39,-,-,-,-,-
1491,2012/03,-,-,14000,-,-,-
1514,2012/03,-,-,0,-,-,-
1515,2012/03,35,582000000,2000000,19.25,19.3,-
1518,2012/03,40,554000000,0,11.35,11.4,-
1605,2012/03,17.5,21905000000,-,-,0,-
1662,2012/03,8,2286000000,0,13.43,13.4,-
1712,2012/02,2.5,23945000,-,17.1,-,-
1716,2012/06,2.5,28999000,15546000,9.02,13.9,-
1717,2012/03,5,44714000,-,104.7,104.7,-
1718,2012/12,80,43753000,0,21.5,21.5,1.3
1719,2012/03,1.5,259000000,6000000,-,0.3,-
1720,2012/03,3,1067000000,0,59.31,59.3,-
1721,2012/03,20,2597000000,3000000000,36.21,78,-
1722,2012/03,0,-,1000000,-,0,-
1723,2012/03,11,245886000,-,30.9,30.9,-
1724,2012/03,-,29000000,-,-,-,-
1726,2012/03,1,32866000,199000,20.95,21.1,-
1728,2012/03,5,57617000,382000,37.3,37.5,-
1730,2012/03,-,17086000,120000,-,-,-
1734,2012/03,50,37943000,284000,20,20.2,-
1736,2012/03,15,66779000,-,18.86,18.9,-
1737,2012/03,25,191651000,-,28.44,28.4,-
1738,2012/03,7.5,26366000,-,21.07,-,-
1739,2012/03,-,8000,-,-,-,-
1743,2012/09,16.67,37949000,-,80,80,0.6
1758,2012/01,4.17,49265000,497000,32.1,32.4,-
1762,2012/03,23,518000000,-,12.3,-,-
1764,2012/06,50,64879000,132000,25.5,25.6,-
1766,2012/04,80,1077000000,-,35.75,35.8,-
1768,2012/03,7,51390000,-,27.01,27,-
1770,2012/03,16,179155000,-,116.68,116.7,-
1771,2012/09,3,34895000,-,3.9,3.9,0.9
1775,2012/03,15,134000000,-,-,-,-
1776,2012/03,4,37000000,0,11.49,11.5,-
1777,2012/03,5,59865000,207000,21,21.1,-
1780,2012/09,5,102147000,380000,42.6,42.8,1.1
1782,2012/03,50,-,26000,-,0,-
1787,2012/03,50,155144000,527000,34.4,34.5,-
1788,2012/06,40,27432000,37000,34.9,34.9,-
1789,2012/09,4,25476000,10000,-,-,1.3
1793,2012/03,19.17,353000000,0,49.72,49.7,-
1795,2012/03,20,17588000,98000,70.88,71.3,-
1798,2012/03,25,54769000,-,55.13,55.1,-
1799,2012/03,20,361614000,272397000,17.5,29.1,-
1801,2012/03,25,5697000000,4000000,482.39,482.7,-
1802,2012/03,8,5748000000,151000000,111.79,114.7,-
1803,2012/03,7,5502000000,7000000,384.76,385.2,-
1805,2012/03,-,-,6000000,-,2,-
1807,2012/03,6.25,23937000,91000,2.55,2.6,-
1808,2012/03,0,680000000,5071000000,-,45.1,-
1810,2012/03,8,244244000,657000,67.53,67.7,-
1811,2012/03,-,-,0,-,-,-
1812,2012/03,10,6234000000,172000000,162.64,167.1,-
1813,2012/03,-,-,0,-,-,-
1814,2012/03,-,-,24000000,-,-,-
1815,2012/03,10,312000000,0,-,-,-
1820,2012/03,20,1109000000,2000000,40.59,40.7,-
1821,2012/03,-,-,200000000,-,14.6,-
1822,2012/03,5,63000000,1000000,-,-,-
1824,2012/03,7,1238000000,0,38.72,38.7,-
1826,2012/03,-,-,0,-,-,-
1827,2012/03,3,206000000,-,-,-,-
1828,2012/03,7.5,80263000,21000,46.7,46.7,-
1832,2012/03,7,154486000,-,70.35,-,-
1833,2012/03,45,1797000000,9000000,-,-,-
1835,2012/03,20,641373000,946000,17.78,17.8,-
1840,2012/10,4,25519000,1000,21,21,0.8
1841,2012/03,25,88103000,48000,61.4,61.4,-
1844,2012/07,-,-,1000,-,-,0
1847,2012/03,25,179000000,-,31.6,-,2.5
1848,2012/03,2,-,0,-,-,-
1852,2012/03,-,152000000,0,-,-,-
1860,2012/03,6,2163000000,13000000,-,-,-
1861,2012/03,-,-,5000000,-,0.3,-
1865,2012/03,12,728000000,340000000,47.77,70.1,-
1866,2012/03,80,553001000,358187000,61.43,101.2,-
1867,2012/03,20,132555000,1385000,46.15,46.6,-
1869,2012/03,10,246000000,-,19.43,-,-
1870,2012/03,14,607000000,0,46.87,46.9,-
1871,2012/03,2.5,81000000,0,11.13,11.1,-
1873,2012/10,10,183000000,1000000,12,12,4.4
1878,2012/03,297,22072000000,9024000000,46.86,66,-
1879,2012/03,7,409000000,-,44.7,-,-
1881,2012/03,12,1429000000,2000000,19.12,19.1,-
1882,2012/03,5,145000000,1000000,7.83,7.9,-
1883,2012/03,18,1214000000,19000000,15.97,16.2,-
1884,2012/03,14,616000000,1000000,28.89,28.9,-
1885,2012/03,5,417000000,71000000,61.5,72,-
1887,2012/05,1.5,248000000,-,-,-,-
1888,2012/03,-,-,0,-,-,-
1890,2012/03,5,409000000,0,44.55,44.6,-
1892,2012/03,-,29365000,116000,-,-,-
1893,2012/03,2,571000000,0,35.2,35.2,-
1897,2012/12,85,274000000,169000000,-,-,1.4
1898,2012/03,-,-,1620000000,-,85.9,-
1899,2012/12,20,133000000,1000000,6.5,6.5,0.6
1904,2012/03,36,199309000,213000,150.12,150.3,-
1905,2012/03,8,53365000,78000,-,-,-
1909,2012/03,37.5,262369000,235000,56.5,56.6,4.3
1911,2012/03,15,2657000000,1000000,28.66,28.7,-
1914,2012/03,3,85712000,195000,-,-,0.4
1921,2012/03,6,244195000,78000,43.3,43.3,-
1925,2012/03,25,11576000000,111000000,34.87,35.2,-
1926,2012/03,8,421000000,0,25.09,25.1,-
1928,2012/01,20,12165000000,2797000000,42,51.7,-
1929,2012/03,16,196000000,1000000,10.75,10.8,-
1930,2012/03,5,117000000,0,17.46,17.5,-
1934,2012/03,12,796000000,-,-,-,-
1938,2012/03,7.5,190952000,362000,5.36,5.4,-
1939,2012/03,8.33,393000000,1000000,42.95,43.1,-
1941,2012/03,20,1175000000,0,-,-,-
1942,2012/03,12,2452000000,14000000,130.7,131.4,-
1944,2012/03,14,3461000000,11000000,32.88,33,-
1945,2012/03,15,525000000,3000000,46.58,46.8,-
1946,2012/03,10,936000000,4000000,182.1,182.9,-
